COD_APE,DATA_INS,RESIDENZIALE,NON_RESIDENZIALE,COMUNE_CATASTALE,SEZIONE,FOGLIO,PARTICELLA,SUBALTERNO,PROPRIETA_PUBBLICA,USO_PUBBLICO,CLASSIFICAZIONE_DPR,INTERO_EDIFICIO,UNITA_IMMOBILIARE,GRUPPO_UNITA_IMMOBILIARI,NUMERO_UNITA_IMMOBILIARI,NUOVA_COSTRUZIONE,PASSAGGIO_PROPRIETA,LOCAZIONE,RISTRUTTURAZIONE_IMPORTANTE,RIQUALIFICAZIONE_ENERGETICA,OGGETTO_ALTRO,OGGETTO_ALTRO_TXT,REGIONE,COMUNE,INDIRIZZO,PIANO,INTERNO,WGS84_X,WGS84_Y,location,ZONA_CLIMATICA,ANNO_COSTRUZIONE,SUPERF_UTILE_RISCALDATA,SUPERF_UTILE_RAFFRESCATA,VOLUME_LORDO_RISCALDATO,VOLUME_LORDO_RAFFRESCATO,CLIMATIZZAZIONE_INVERNALE,CLIMATIZZAZIONE_ESTIVA,VENTILAZIONE_MECCANICA,PROD_ACQUA_CALDA_SANITARIA,ILLUMINAZIONE,TRASPORTO_PERSONE_COSE,PI,PE,EDIFICIO_ENERGIA_QUASI_ZERO,CLASSE_ENERGETICA,EP_GL_NREN,Y,Z,EP_GL_REN,EMISSIONI_CO2,CONSUMI_ENERGIA_ELETTRICA,CONSUMI_GAS_NATURALE,CONSUMI_GPL,CONSUMI_CARBONE,CONSUMI_GASOLIO,CONSUMI_BIOMASSE_SOLIDE,CONSUMI_BIOMASSE_LIQUIDE,CONSUMI_BIOMASSE_GASSOSE,CONSUMI_SOLARE_FOTOVOLTAICO,CONSUMI_SOLARE_TERMICO,CONSUMI_EOLICO,CONSUMI_TELERISCALDAMENTO,CONSUMI_TELERAFFRESCAMENTO,CONSUMI_ALTRO,RIQ_CLASSE_RAGG,RIQ_EP_GL_NREN_RAGG,DS_CODICE_INTERVENTO_1,DS_TIPO_INTERVENTO_1,FL_COMPORTA_RISTRUT_1,NM_TEMPO_RITORNO_INVESTIM_1,DS_CLASSE_RAGGIUNGIBILE_1,NM_EP_GL_NREN_RAGGIUNG_1,DS_CODICE_INTERVENTO_2,DS_TIPO_INTERVENTO_2,FL_COMPORTA_RISTRUT_2,NM_TEMPO_RITORNO_INVESTIM_2,DS_CLASSE_RAGGIUNGIBILE_2,NM_EP_GL_NREN_RAGGIUNG_2,DS_CODICE_INTERVENTO_3,DS_TIPO_INTERVENTO_3,FL_COMPORTA_RISTRUT_3,NM_TEMPO_RITORNO_INVESTIM_3,DS_CLASSE_RAGGIUNGIBILE_3,NM_EP_GL_NREN_RAGGIUNG_3,DS_CODICE_INTERVENTO_4,DS_TIPO_INTERVENTO_4,FL_COMPORTA_RISTRUT_4,NM_TEMPO_RITORNO_INVESTIM_4,DS_CLASSE_RAGGIUNGIBILE_4,NM_EP_GL_NREN_RAGGIUNG_4,DS_CODICE_INTERVENTO_5,DS_TIPO_INTERVENTO_5,FL_COMPORTA_RISTRUT_5,NM_TEMPO_RITORNO_INVESTIM_5,DS_CLASSE_RAGGIUNGIBILE_5,NM_EP_GL_NREN_RAGGIUNG_5,DS_CODICE_INTERVENTO_6,DS_TIPO_INTERVENTO_6,FL_COMPORTA_RISTRUT_6,NM_TEMPO_RITORNO_INVESTIM_6,DS_CLASSE_RAGGIUNGIBILE_6,NM_EP_GL_NREN_RAGGIUNG_6,DS_CODICE_INTERVENTO_7,DS_TIPO_INTERVENTO_7,FL_COMPORTA_RISTRUT_7,NM_TEMPO_RITORNO_INVESTIM_7,DS_CLASSE_RAGGIUNGIBILE_7,NM_EP_GL_NREN_RAGGIUNG_7,ENERGIA_ESPORTATA,VETTORE_ENERGETICO,SUPERFICIE_DISPERDENTE,RAPPORTO_SV,EP_H_ND,A_SOL_EST_A_SUP_UTILE,Y_IE,CI_TIPO_IMPIANTO_1,CI_CODICE_CATASTO_1,CI_VETTORE_ENERGETICO_1,CI_POTENZA_NOMINALE_1,CI_TIPO_IMPIANTO_2,CI_VETTORE_ENERGETICO_2,CI_POTENZA_NOMINALE_2,CI_EFFICIENZA_MEDIA,CI_EPREN,CI_EPNREN,CE_TIPO_IMPIANTO_1,CE_VETTORE_ENERGETICO_1,CE_POTENZA_NOMINALE_1,CE_TIPO_IMPIANTO_2,CE_VETTORE_ENERGETICO_2,CE_POTENZA_NOMINALE_2,CE_EFFICIENZA_MEDIA,CE_EPREN,CE_EPNREN,PA_TIPO_IMPIANTO,PA_VETTORE_ENERGETICO,PA_POTENZA_NOMINALE,PA_EFFICIENZA_MEDIA,PA_EPREN,PA_EPNREN,IC_TIPO_IMPIANTO,IC_VETTORE_ENERGETICO,IC_POTENZA_NOMINALE,IC_EFFICIENZA_MEDIA,IC_EPREN,IC_EPNREN,PFR_TIPO_IMPIANTO_1,PFR_VETTORE_ENERGETICO_1,PFR_POTENZA_NOMINALE_1,PFR_EFFICIENZA_MEDIA_1,PFR_EPREN_1,PFR_EPNREN_1,PFR_TIPO_IMPIANTO_2,PFR_VETTORE_ENERGETICO_2,PFR_POTENZA_NOMINALE_2,PFR_EFFICIENZA_MEDIA_2,PFR_EPREN_2,PFR_EPNREN_2,VM_TIPO_IMPIANTO,VM_ANNO_INSTALLAZIONE,VM_VETTORE_ENERGETICO,VM_POTENZA_NOMINALE,VM_EFFICIENZA_MEDIA,VM_EPREN,VM_EPNREN,ILL_TIPO_IMPIANTO,ILL_VETTORE_ENERGETICO,ILL_POTENZA_NOMINALE,ILL_EFFICIENZA_MEDIA,ILL_EPREN,ILL_EPNREN,TPC_TIPO_IMPIANTO_1,TPC_VETTORE_ENERGETICO_1,TPC_POTENZA_NOMINALE_1,TPC_EFFICIENZA_MEDIA_1,TPC_EPREN_1,TPC_EPNREN_1,TPC_TIPO_IMPIANTO_2,TPC_VETTORE_ENERGETICO_2,TPC_POTENZA_NOMINALE_2,TPC_EFFICIENZA_MEDIA_2,TPC_EPREN_2,TPC_EPNREN_2,SOPRALLUOGO,SW_REQUISITI,SW_SEMPLIFICATO,ENTE_PUBBLICO,TECNICO_ABILITATO,SOCIETA,NOME_DENOMINAZIONE_CERT,TITOLO_CERT,ORDINE_CERT
1406100024217,26/06/2017,true,false,SONDRIO,,30,31,7,false,false,E.1(2),false,true,false,3,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Riatti Frazione S. Anna 7/D,,,46.17398155480284,9.85780023525263,"(46.17398155480284, 9.85780023525263)",E,1961-1976,55.72,0,201.06,0,true,false,false,true,false,false,red,yellow,false,E,169.55,"B (84,36)",,0,32.26,0,905.17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,189.49,0.94,124.26,0.06,0.09,Generatore a combustione,,Gas naturale,30.6,,,,0.85,0,146.45,,,,,,,0,0,0,Generatore a combustione,Gas naturale,30.6,0.91,0,23.1,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,FEDERICO NEGRINI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100024617,29/06/2017,true,false,SONDRIO,,43,765,3,false,false,E.1(1),false,true,false,13,false,true,false,false,false,false,,Lombardia,SONDRIO,via nani  34/a,t,,46.16867249008041,9.883604028262399,"(46.16867249008041, 9.883604028262399)",E,1993-2006,40.9,0,141.1,0,true,false,false,true,false,false,red,green,false,E,157.93,"B (71,48)",,0,33.9,0,0,480,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,5,4,58.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,52.74,0.37,73.69,0,0,Generatore a combustione,,GPL,24,,,,0.62,0,118.45,,,,,,,0,0,0,Generatore a combustione,GPL,24,0.5,0,39.47,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Paolo Marchetti,Diploma di geometra,
1406100024817,29/06/2017,true,false,SONDRIO,,33,135,94,false,false,E.1(1),false,true,false,40,false,false,true,false,false,false,,Lombardia,SONDRIO,VIA ANTONIO CAIMI 35,PRIMO,,46.16920311530038,9.869475578609398,"(46.16920311530038, 9.869475578609398)",E,1961-1976,84.51,0,335.11,0,true,false,false,true,false,false,red,red,false,E,144.97,"B (67,71)",,0.11,35.78,20.28,0,0,0,961.52,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,6,74.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,107.37,0.32,88.29,0.03,0.2,Generatore a combustione,,Gasolio e olio combustibile,440,,,,0.74,0.11,119.62,,,,,,,0,0,0,Generatore a combustione,Gasolio e olio combustibile,440,0.72,0,25.35,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,STEFANO VEGA,Diploma di laurea in ingegneria,Ordine degli ingegneri
1406100024017,26/06/2017,true,false,SONDRIO,,30,31,4,false,false,E.1(2),false,true,false,3,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Riatti Frazione S. Anna 7/D,,,46.17398155480284,9.85780023525263,"(46.17398155480284, 9.85780023525263)",E,1961-1976,67.3,0,239.1,0,true,false,false,true,false,false,red,yellow,false,E,141.97,"B (57,55)",,0,27.01,0,915.43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,141.44,0.59,102.2,0.07,0.09,Generatore a combustione,,Gas naturale,30.6,,,,0.85,0,120.45,,,,,,,0,0,0,Generatore a combustione,Gas naturale,30.6,0.91,0,21.52,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,FEDERICO NEGRINI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100024417,27/06/2017,false,true,SONDRIO,,41,62,10,false,false,E.5,false,true,false,1,false,false,true,false,false,false,,Lombardia,SONDRIO,Via Caimi 16,terreno,,46.16989151470567,9.86937165167525,"(46.16989151470567, 9.86937165167525)",E,1993-2006,22.4,0,112.2,0,true,false,false,true,true,false,red,yellow,false,D,488.98,"B (321,08)",,45.78,99.1,2181.97,641.78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,100.98,0.9,234.27,0.12,0.05,Generatore a combustione,,Gas naturale,28.4,,,,0.79,0,297.31,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28.4,0,0,1.72,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0.47,,45.78,189.95,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,FEDERICO NEGRINI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100023917,26/06/2017,true,false,SONDRIO,,36,337,3,false,false,E.1(1),false,true,false,1,false,false,false,false,true,false,,Lombardia,SONDRIO,via Stelvio 49,2,,46.17083628164265,9.884292882260015,"(46.17083628164265, 9.884292882260015)",E,1960,80.5,0,310,0,true,false,false,true,false,false,yellow,green,false,A1,60.88,"B (72,52)",,0,11.58,0,469.54,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,128.99,0.42,35.15,0.01,0,Generatore a combustione,AY5AD43986297903,Gas naturale,23.6,,,,0.87,0,40.48,,,,,,,0,0,0,Generatore a combustione,Gas naturale,26,0.91,0,20.4,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Matteo Pradella,Diploma di geometra,Collegio dei geometri
1406100024717,29/06/2017,true,false,SONDRIO,,43,281,24,false,false,E.1(1),false,true,false,29,false,false,true,false,false,false,,Lombardia,SONDRIO,VIA STELVIO 40,QUINTO,,46.17064766074008,9.881096587876414,"(46.17064766074008, 9.881096587876414)",E,1946-1960,54.36,0,201.86,0,true,false,false,true,false,false,red,red,false,G,260.63,"C (92,43)",,15.53,51.65,1796.34,1021.86,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,9,185.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,93.26,0.46,155.73,0.06,0.32,Generatore a combustione,,Gas naturale,310,,,,0.79,0.24,197.2,,,,,,,0,0,0,Scalda-acqua,Energia elettrica,1.5,0.33,15.29,63.44,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,STEFANO VEGA,Diploma di laurea in ingegneria,Ordine degli ingegneri
1516600047517,26/06/2017,false,true,PADERNO DUGNANO,,50,65,708,false,false,E.2,false,true,false,5,true,false,false,false,false,false,,Lombardia,PADERNO DUGNANO,Via Sondrio 4,,,45.5696616362222,9.191395538716419,"(45.5696616362222, 9.191395538716419)",E,2015,102.9,102.9,543.15,543.15,true,true,true,true,true,true,green,green,false,A4,45.53,"A1 (195,31)",,171.6,10.12,2402.81,0,0,0,0,0,0,0,14749,0,0,0,0,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Fonti rinnovabili,No,10,1,46.1,,,,,,,639.62,elettricità,201.86,0.37,30.72,0.03,0.03,Pompa di calore,,Energia elettrica,71.2,,,,4.77,9.46,6.44,Pompa di calore,Energia elettrica,85.5,,,,3.97,58.85,6.57,Pompa di calore,Energia elettrica,1.55,0,26.94,4.99,,,,,,,Fotovoltaico,Energia elettrica,15.1,,,,Pompa di calore,Energia elettrica,71.2,,,,,,,0.66,,5.63,2.03,,,2.06,,69.44,25.04,N,,3.5,0.51,1.28,0.46,,,,0.51,1.28,0.46,true,true,false,false,true,false,Salvatore Lo Monaco,Diploma di geometra,Collegio dei geometri
1406100024117,26/06/2017,true,false,SONDRIO,,30,31,6,false,false,E.1(2),false,true,false,3,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Riatti Frazione S. Anna 7/D,,,46.17398155480284,9.85780023525263,"(46.17398155480284, 9.85780023525263)",E,1961-1976,64.2,0,231.4,0,true,false,false,true,false,false,red,yellow,false,E,180.04,"B (71,09)",,0,34.26,0,1107.45,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,189.66,0.82,134.14,0.08,0.09,Generatore a combustione,,Gas naturale,30.6,,,,0.85,0,158.15,,,,,,,0,0,0,Generatore a combustione,Gas naturale,30.6,0.91,0,21.89,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,FEDERICO NEGRINI,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100024317,26/06/2017,true,false,SONDRIO,,32,173,9,false,false,E.1(1),false,true,false,1,false,true,false,false,false,false,,Lombardia,SONDRIO,Vicolo San Siro 5,2,,46.17301858035941,9.872540491496418,"(46.17301858035941, 9.872540491496418)",E,Prima del 1930,48.96,0,218.82,0,true,false,false,true,false,false,red,green,false,F,234.58,"B (72,11)",,0,44.64,0,1100.41,0,0,0,0,0,0,0,0,0,0,0,0,E,165.7,1,Fabbricato - involucro opaco,No,7.9,9,194.77,2,Fabbricato - involucro trasparente,No,9.1,9,205.51,3,Impianto climatizzazione - inverno,No,0,9,234.58,,,,,,,,,,,,,,,,,,,7,Cumulativo,No,20,8,165.7,0,,116.25,0.53,143.87,0.01,0.03,Impianto simulato in quanto assente,,Gas naturale,,,,,0.73,0,196.31,,,,,,,0,0,0,Impianto simulato in quanto assente,Gas naturale,,0.57,0,38.27,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,,,,,,,,,,true,true,false,false,true,false,Mattia Maranga,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100024517,28/06/2017,true,false,SONDRIO,,43,989,3,false,false,E.1(1),false,true,false,12,false,true,false,false,false,false,,Lombardia,SONDRIO,VIA MARINAI D'ITALIA 11,TERRA,,46.16778163978168,9.8845489898707,"(46.16778163978168, 9.8845489898707)",E,2005,66.16,0,253.38,0,true,false,false,true,false,false,red,red,false,D,123.21,"B (67,21)",,0.11,23.46,15.99,778.06,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,6,94.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,192.12,0.76,72.89,0.05,0.6,Generatore a combustione,,Gas naturale,28.3,,,,0.76,0.11,95.96,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28.3,0.72,0,27.25,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,DAVIDE DE PAOLI,Diploma di geometra,Collegio dei geometri
1516600047617,26/06/2017,false,true,PADERNO DUGNANO,,50,65,710,false,false,E.2,false,true,false,5,true,false,false,false,false,false,,Lombardia,PADERNO DUGNANO,Via Sondrio 4,,,45.5696616362222,9.191395538716419,"(45.5696616362222, 9.191395538716419)",E,2015,121.3,121.3,685.8,685.8,true,true,true,true,true,true,green,yellow,false,A4,68.06,"A1 (169,92)",,167.64,15.12,4233.76,0,0,0,0,0,0,0,14853,0,0,0,0,3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Fonti rinnovabili,No,10,1,71.82,,,,,,,535.85,elettricità,352.04,0.51,54.82,0.04,0.02,Pompa di calore,,Energia elettrica,71.2,,,,5.64,16.84,9.73,Pompa di calore,Energia elettrica,85.5,,,,1.33,57.81,19.35,Pompa di calore,Energia elettrica,1.55,0,36.43,8.82,,,,,,,Fotovoltaico,Energia elettrica,15.1,,,,Pompa di calore,Energia elettrica,71.2,,,,,,,0.66,,4.59,2.4,,,2.43,,50.86,27.19,N,,3.5,0.51,1.11,0.58,,,,0.51,1.11,0.58,true,true,false,false,true,false,Salvatore Lo Monaco,Diploma di geometra,Collegio dei geometri
10803400013416,06/04/2016,false,true,MUGGIO',,21,111,705,false,false,E.8,false,true,false,1,false,false,false,false,true,false,,Lombardia,MUGGIO`,Via Sondrio 1/3,1,,,,,E,1985,240.38,240.38,1936.68,1936.68,true,true,false,true,true,false,red,green,false,E,443.44,"A1 (216,99)",,60.4,91.07,30170.87,4441.64,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,Si,8.8,7,400.05,2,Fabbricato - involucro trasparente,Si,13.5,7,435.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,795.57,0.41,148.03,0,0.07,Generatore di aria calda,,Gas naturale,41.7,,,,0.76,0.7,195.74,Pompa di calore,Energia elettrica,23,,,,2.44,1.41,5.84,Generatore ad effetto joule,Energia elettrica,1000,0,21.31,88.4,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,4.81,,36.99,153.47,,,,,,,,,,,,,true,true,false,false,true,false,Mauro Finassi,Laurea magistrale in ingegneria,Ordine degli ingegneri
10803400043915,08/01/2016,false,true,MUGGIO',,21,111,703,false,false,E.8,false,true,false,1,false,false,false,false,true,false,,Lombardia,MUGGIO`,Via Sondrio 1/3,1,,,,,E,1985,240.38,240.38,1936.68,1936.68,true,true,false,true,true,false,red,green,false,E,443.44,"A1 (217,0)",,60.4,91.07,30170.91,4441.64,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,Si,8.8,7,400.05,2,Fabbricato - involucro trasparente,Si,13.5,7,435.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,795.57,0.41,148.03,0,0.07,Generatore di aria calda,,Gas naturale,41.7,,,,0.76,0.7,195.74,Pompa di calore,Energia elettrica,23,,,,2.44,1.41,5.84,Generatore ad effetto joule,Energia elettrica,1000,0,21.31,88.4,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,36.99,153.47,,,,,,,,,,,,,true,true,false,false,true,false,Mauro Finassi,Laurea magistrale in ingegneria,Altro
1406100025417,04/07/2017,false,true,SONDRIO,,32,726,210,false,false,E.5,false,true,false,50,false,false,true,false,false,false,,Lombardia,SONDRIO,VIA FELICE CAVALLOTTI SNC,TERRA,,46.17178800449079,9.87156004928413,"(46.17178800449079, 9.87156004928413)",E,1961-1976,23,0,122.85,0,true,false,false,false,true,false,red,red,false,D,309.28,"B (201,17)",,40.51,64.21,1982.17,311.22,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,5,230.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,48.24,0.39,95.44,0.3,0.5,Generatore a combustione,,Gas naturale,746.8,Generatore a combustione,Gas naturale,600,0.68,0.01,141.26,,,,,,,0,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0.46,,40.5,168.03,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,STEFANO VEGA,Diploma di laurea in ingegneria,Ordine degli ingegneri
1406100024917,03/07/2017,true,false,SONDRIO,,30,289,3,false,false,E.1(1),false,true,false,2,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Valeriana -,Terzo,,46.171046345823946,9.859370289772713,"(46.171046345823946, 9.859370289772713)",E,1993-2006,85.45,0,271.17,0,true,false,false,true,false,false,red,green,false,C,83.01,"B (63,34)",,0,15.8,0,679.63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,117.02,0.43,55.25,0.03,0.12,Generatore a combustione,,Gas naturale,28.6,,,,0.87,0,63.23,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28.6,0.92,0,19.78,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Federico Negrini,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100025217,04/07/2017,true,false,SONDRIO,,41,110,49,false,false,E.1(1),false,true,false,16,false,false,true,false,false,false,,Lombardia,SONDRIO,VIA TRENTO 13,QUARTO,,46.16874880704818,9.87099828717358,"(46.16874880704818, 9.87099828717358)",E,1961-1976,60.52,0,229.05,0,true,false,false,true,false,false,red,red,false,F,225.25,"B (67,09)",,0.47,42.92,59.91,1294.92,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,8,151.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,171.65,0.75,155.94,0.09,0.9,Generatore a combustione,,Gas naturale,25,,,,0.78,0.47,199.49,,,,,,,0,0,0,Generatore a combustione,Gas naturale,25,0.79,0,25.76,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,STEFANO VEGA,Diploma di laurea in ingegneria,Ordine degli ingegneri
1406100025717,07/07/2017,true,false,SONDRIO,,41,25,75,true,false,E.1(1),false,true,false,1,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Ezio Parolo 4,2,,46.16900075752656,9.86728846512753,"(46.16900075752656, 9.86728846512753)",E,1961-1976,109.41,0,388.49,0,true,false,false,true,false,false,red,yellow,false,F,219.86,"B (72,86)",,0,41.84,0.3,2304.67,0,0,0,0,0,0,0,0,0,0,0,0,E,155.9,1,Fabbricato - involucro opaco,No,13.9,8,178.91,2,Fabbricato - involucro trasparente,No,35.5,9,197.1,,,,,,,,,,,,,,,,,,,,,,,,,7,Cumulativo,No,21.5,8,155.9,0,,158.69,0.41,123.39,0.02,0.28,Generatore a combustione,,Gas naturale,472.04,,,,0.61,0,201.19,,,,,,,0,0,0,Generatore a combustione,Gas naturale,472.04,0.91,0,18.66,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Michelangelo Salerno,Diploma di geometra,Altro
1406100025017,03/07/2017,true,false,SONDRIO,,30,289,6,false,false,E.1(1),false,true,false,2,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Valeriana -,Terzo,,46.171046345823946,9.859370289772713,"(46.171046345823946, 9.859370289772713)",E,1993-2006,187.05,0,564.9,0,true,false,false,true,false,false,red,green,false,C,85.28,"B (67,1)",,0,16.23,0,1528.31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,220.06,0.39,59.39,0.02,0.13,Generatore a combustione,,Gas naturale,28.6,,,,0.86,0,68.84,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28.6,0.93,0,16.44,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Federico Negrini,Diploma di perito industriale o di istruzione tecnica,Collegio dei periti industriali
1406100025617,07/07/2017,true,false,SONDRIO,,52,797,12,false,false,E.1(2),false,true,false,12,false,true,false,false,false,false,,Lombardia,SONDRIO,Via Giuliani 7,terzo,,46.16177658406849,9.863073053147362,"(46.16177658406849, 9.863073053147362)",E,1995,69.39,0,233.75,0,true,false,false,true,false,false,red,green,false,E,126.04,"B (53,82)",,0.55,24.06,81.44,822.72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,66.27,0.28,29.63,0.01,0.03,Generatore a combustione,,Gas naturale,28,,,,0.31,0.53,95.85,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28,0.64,0.02,30.18,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,Donato Greppi,Diploma di geometra,Collegio dei geometri
1406100025117,04/07/2017,true,false,SONDRIO,,41,110,48,false,false,E.1(1),false,true,false,16,false,false,true,false,false,false,,Lombardia,SONDRIO,VIA TRENTO 13,QUARTO,,46.16874880704818,9.87099828717358,"(46.16874880704818, 9.87099828717358)",E,1961-1976,113.84,0,430.33,0,true,false,false,true,false,false,red,red,false,F,240.15,"B (78,58)",,0.46,45.76,110.8,2598.68,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Fabbricato - involucro opaco,No,10,8,167.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,302.5,0.7,168.56,0.08,0.9,Generatore a combustione,,Gas naturale,28.1,,,,0.77,0.46,219.05,,,,,,,0,0,0,Generatore a combustione,Gas naturale,28.1,0.8,0,21.1,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,0,0,,,,0,0,0,,,,0,0,0,true,true,false,false,true,false,STEFANO VEGA,Diploma di laurea in ingegneria,Ordine degli ingegneri
